label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,avg_inst_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec,cv_inst_exec
sqrt,64,11897645,5112,8013144,494469,46,0.1857710554314487,0.2954247921353044,0.21086557222194954,0.05758588678041607,0.05751633284923023
sqrt,128,16763934,33869,6737862,481303,57,0.12962586410485527,0.13936434225120614,0.032882210657652865,0.039474412968515844,0.36013675967322273
sqrt,256,18662996,121449,11368516,690440,71,0.036737150643593855,0.24739750041454073,0.14999676746577142,0.42921878361325,0.12197540898372376
sqrt,512,20130983,325034,9766295,691116,49,0.13869830503018576,0.7538534998094771,0.1960522694894309,0.36263431790410505,0.16198477414681167
sqrt,1024,15500094,664983,11482060,704593,48,0.38275100968061504,0.15155624746249516,0.019854974816316533,0.28145827271100454,0.03160397031004027
sqrt,2048,11381118,2298989,9165390,567327,52,0.0668262413702537,0.03076135315196197,0.16527917587265617,0.09013178991910215,0.14501821819480507
sqrt,4096,11622929,11980367,10099557,680663,51,0.022044604431221825,0.1536695437744547,0.18141367060907385,0.5086735811667359,0.28386354538174535
sqrt,8192,11409309,38848977,8348908,483936,53,0.0400181735274875,0.0023877873272442392,0.09850836718214065,0.006236445975592204,0.06536040783278782
clip,64,12938802,3033,11263618,1081361,50,0.1265202227633429,0.1745542393237293,0.12246004555339518,0.25283859130202035,0.06
clip,128,14346627,11537,11879820,604107,46,0.13613758652368801,0.3519042485762559,0.29061712049327887,0.18496953862430604,0.07530655685082074
clip,256,13456357,63257,9758057,536922,79,0.1336376798427762,0.532660197866775,0.1273601105361781,0.20582176954156808,0.44086265233589866
clip,512,14466457,139444,8130358,498929,49,0.3195195477749371,0.09934417462291123,0.09247672302926686,0.07574109743923618,0.11448806784719451
clip,1024,11411678,585576,11738556,811127,49,0.007065652008187336,0.0010929941550022742,0.3955565642879646,0.3662653559594004,0.06515980243914159
clip,2048,11245666,2623417,10455917,678439,50,0.01767529894639483,0.0058739533191461985,0.1283577657142904,0.4856112010190684,0.04966996338993914
clip,4096,11520435,10540905,8715664,509361,52,0.07899842579360129,0.006346747332746195,0.19366271136035637,0.038397616647904455,0.21153846153846154
clip,8192,11833171,33056073,9439732,701140,46,0.03050832619012084,0.0008861940365309513,0.08681744417192123,0.3825310093645037,0.1188684290781173
leaky_relu,64,13534579,4549,11092491,701058,48,0.187972625502787,0.35423468781021195,0.30779140099261265,0.4382210911179896,0.03608439182435161
leaky_relu,128,13119066,12542,11094305,907322,63,0.3447120582052175,0.3888594735691292,0.34610982250501005,0.5091793457389038,0.21553258136256073
leaky_relu,256,16202416,36298,8849186,482781,64,0.28077170671825663,0.07907970896116438,0.31851506138304464,0.025191172200851323,0.35897426063603677
leaky_relu,512,13544129,179625,7933732,482415,60,0.45470218382289007,0.3057591901764967,0.03750993276434055,0.023814185345191672,0.33291640592396965
leaky_relu,1024,12549769,608584,9759133,476146,47,0.12750143160201352,0.001735226686019588,0.2258316962151172,0.023270134050259766,0.012197540898372375
leaky_relu,2048,11364306,2801070,9131261,532584,81,0.040094041643394765,0.004188817750565534,0.09898086877373971,0.1617146032786774,0.6952053444593129
leaky_relu,4096,11649644,8186548,8939516,624932,46,0.04546782985299431,0.003549133327657805,0.09667865327521868,0.21814572993796877,0.012460797176754511
leaky_relu,8192,11580698,32670243,9098647,488225,67,0.083762797597751,0.007063727690848076,0.06471959198189738,0.008446696866289636,0.3324038425570162
gemm,64,17749585,510036,9620846,714358,48,0.2584580782054173,0.34553673238878707,0.1236023105986595,0.2120227625196314,0.5777260259942519
gemm,128,19178276,6181661,11895948,649203,36,0.1187019820572446,0.08654048465274553,0.36620466267205326,0.2826926358957586,0.3253732757849687
gemm,256,11783079,24277278,10334377,817054,42,0.027421084126452066,0.015157187875043023,0.11441595547119608,0.4160814433004405,0.22712838128974897
gemm,512,11578738,196637253,8241380,617705,43,0.06061708489539818,0.003026629274240875,0.05301903744916827,0.153634363641615,0.32413547703148315
gemm,1024,12116245,1603984771,9421178,595395,32,0.046904831465122546,0.00034760861941445355,0.09664256359032714,0.09102468785872629,0.14320549046737
gemm,2048,12149035,12969295940,9249865,639883,33,0.03669231257540579,0.0004072286110111511,0.09536966268766875,0.13858876479807528,0.0458257569495584
gemm,4096,12821167,104869550006,9603093,630819,34,0.06379685399933632,0.0016862838224626997,0.08419475714255717,0.08955799874630448,0.05094267081084933
gemm,8192,12099327,845281561213,9455171,581063,36,0.021483425182662465,0.0020965662665458377,0.0705283354895473,0.24882006328588047,0.11354541815269815
softmax,64,19847028,12786799,20522803,1575473,122,0.3211097992821667,1.72139942494741,0.07319040691704443,0.012466287561318875,0.44084596830341566
softmax,128,17038790,4892341,26354191,1560898,162,0.28359488931460564,1.6467997870468256,0.25498829662494527,0.0034627973955715634,0.0763714965310829
softmax,256,19517426,8303334,26666979,2134530,131,0.3506122797213929,1.5510697286740918,0.22327794596482747,0.4489032777008484,0.4768670139421052
softmax,512,19465131,13558323,22130904,1579115,137,0.32379771610436153,1.3587348860729682,0.093867034219176,0.020704129715556883,0.43631077763148773
softmax,1024,13199185,17896729,23642569,1653890,174,0.0662096934039766,0.7993145466631929,0.06102329411347625,0.04934501138183882,0.23394405100054735
softmax,2048,12954517,49147954,22174863,1596787,167,0.080031494038766,0.29269276360258184,0.056761413392099225,0.04075990601520715,0.2791120300898326
softmax,4096,13083794,182087748,23812983,1623846,201,0.028751390558512047,0.21577754496218432,0.08224299141443951,0.03394324554177688,0.7445670992524825
softmax,8192,12703280,624771724,27603176,1903690,121,0.021517165933248705,0.01562014673587927,0.1761471111941129,0.25094915990616373,0.41888251733953735
tanh,64,15025347,46053,11750990,706028,54,0.3248685498855331,0.35884277334579284,0.3988854089405687,0.3421247142897302,0.04899539464934427
tanh,128,11441560,150161,9022002,524894,87,0.03002566517160745,0.08587064067457001,0.06558111891865534,0.14322368529454874,0.35238349031475774
tanh,256,17370007,1142483,9322185,734726,48,0.2751263297982896,0.4282799480732927,0.09997982830816454,0.28921187227201567,0.05206782369152241
tanh,512,19236074,3568873,9905484,561579,51,0.2575043446986571,0.6062103209965107,0.14774970918824476,0.2695430749092485,0.0
tanh,1024,12036613,9115337,9818417,769831,49,0.012366771186128528,0.0031072414110450003,0.4453172759433711,0.6591515856123956,0.030755541576884836
tanh,2048,11585130,36795136,8586834,485044,79,0.008122708676862248,0.0008653154401397945,0.14034629619731387,0.024230369377885298,0.49535225395644317
tanh,4096,11599561,144314421,7286942,478580,127,0.07838030950283795,0.00349898775571702,0.07009277124013547,0.006976529900540616,0.34046837206690417
