label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec
relu,512,14323897,131094,6003180,436882,0.3506829751946613,0.10876488268304607,0.2173165899790269,0.12048953732342274
relu,1024,10704010,440811,7919529,481641,0.030301048208514533,0.15656774539450508,0.26762652294270695,0.14745873130147066
relu,2048,10727377,2140245,6696794,495978,0.014050890981841856,0.005382034763259506,0.06451180457067217,0.1623339414185863
relu,4096,10203833,8036723,6803615,482456,0.05264126348547386,0.0241955342027969,0.09589337375972987,0.1660786930306527
sub,64,17970191,4989,7711709,456173,0.2892172485021495,0.4018291075580496,0.12018358436502379,0.24090767953498848
sub,128,14269772,11408,7956116,607579,0.24336396854421052,0.08944224375590783,0.38063209395145475,0.22273784336688163
sub,256,14040561,35126,8199393,446554,0.22461823317506432,0.6801742569860859,0.03835975102639933,0.13009215778730804
sub,512,10478530,116506,6269931,511653,0.03477564117000657,0.22265328583176314,0.219219543828264,0.28723794881880443
sub,1024,11038858,491294,6322704,401092,0.008638552925070837,0.1132463096011478,0.1513190061904481,0.04441067724599044
sub,2048,10743364,2509661,6483462,417836,0.03943398051273397,0.12405537606112635,0.18177750170380694,0.06709581393955613
sub,4096,10609723,10761277,5902578,392983,0.033005089045062865,0.06906276393339493,0.20279630805594345,0.004307626174488943
transpose,64,13143519,4008,9910327,851585,0.07303790676498491,0.0685958788833651,0.3162728194756753,0.3097864117781779
transpose,128,11932515,19019,9284262,633409,0.058503074879135725,0.36627360966726863,0.10887505205311052,0.01342339421443616
transpose,256,12916347,59361,8948830,1095286,0.18843432887722708,0.09339858341986434,0.22329028594223377,0.30851379926037736
transpose,512,15896317,300272,10085164,914508,0.2575044308017145,0.24122834211806385,0.06932624808838253,0.3114604997752872
transpose,1024,13668418,3033514,7481742,726258,0.07969465418218544,0.01608081981494133,0.1503619978156216,0.09573506839016441
transpose,2048,11850996,22271010,8148566,841904,0.08352597694710995,0.32987064665378923,0.38332421236463066,0.3920034918001593
transpose,4096,12368505,226355437,7031152,632722,0.08797154210369336,0.05056900290626377,0.2062018804124139,0.020495233375382494
slice,64,16512510,4085,5206171,102551,0.3801576963372082,0.4961404410679763,0.25219476958769077,0.020895526311887267
slice,128,17308651,3810,6003047,196904,0.3587362070888548,0.5612682157792477,0.21360135559799373,0.41011322040399883
